Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
246 | 0.3 | 6949
247 | 3.1 | 1848
248 | 1.6 | 1222
249 | 1.7 | 6457
250 | 3.5 | 5596
251 | 4.3 | 6704
252 | 0.3 | 4930
253 | 3.6 | 4412
254 | 1.6 | 5221
255 | 1.7 | 1787
256 | 0.7 | 6319
257 | 2.0 | 1123
258 | 0.6 | 5820
259 | 1.8 | 2559
260 | 0.1 | 175
261 | 0.7 | 1821
262 | 2.5 | 2877
263 | 0.9 | 2700
264 | 0.6 | 137
265 | 4.3 | 5678
266 | 2.4 | 2228
267 | 2.9 | 2075
268 | 2.5 | 2689
269 | 1.5 | 315
270 | 2.2 | 2809
271 | 1.0 | 3021
272 | 0.6 | 1507
273 | 0.6 | 4038
274 | 1.9 | 2820
275 | 3.7 | 5637
276 | 0.7 | 4410
277 | 0.2 | 1470
278 | 2.0 | 4730
279 | 2.7 | 1575
280 | 2.3 | 980
281 | 2.1 | 2114
282 | 6.1 | 2960
283 | 2.9 | 363
284 | 3.0 | 2565
285 | 1.4 | 3376
286 | 3.2 | 1225
287 | 1.3 | 4055
288 | 0.2 | 5649
289 | 1.3 | 5109
290 | 0.1 | 5887
291 | 2.7 | 2029
292 | 2.4 | 5395
293 | 2.1 | 5975
294 | 1.6 | 4290
295 | 0.5 | 4654
296 | 0.9 | 6176
297 | 2.9 | 2169
298 | 4.6 | 1997
299 | 5.3 | 338
300 | 4.0 | 5734
301 | 1.6 | 4535
302 | 2.6 | 5763
303 | 0.8 | 4662
304 | 1.8 | 2069
305 | 0.4 | 5626
306 | 0.9 | 546
307 | 0.4 | 5484
308 | 4.7 | 5773
309 | 1.3 | 334
310 | 1.0 | 2776
311 | 3.6 | 572
312 | 1.7 | 2944
313 | 2.7 | 2753
314 | 2.5 | 571
315 | 0.9 | 4122
316 | 1.7 | 2297
317 | 1.1 | 3360
318 | 2.0 | 5094
319 | 1.4 | 1180
320 | 1.9 | 3913
321 | 0.5 | 2160
322 | 1.6 | 3495
323 | 2.4 | 1568
324 | 2.0 | 946
325 | 0.4 | 232
326 | 1.7 | 3399
327 | 1.3 | 2589
328 | 2.2 | 186
329 | 2.6 | 6944
330 | 4.0 | 3743
331 | 1.9 | 3126
332 | 1.8 | 3390
333 | 2.5 | 33
334 | 1.8 | 2897
335 | 0.7 | 3714
336 | 2.0 | 1899
337 | 0.1 | 7389
338 | 0.1 | 6523
339 | 2.9 | 6783
340 | 3.6 | 1772
341 | 0.1 | 7064
342 | 2.5 | 6832
343 | 0.6 | 3322
344 | 0.4 | 1123
345 | 1.0 | 869
346 | 0.3 | 1469
347 | 4.6 | 5647
348 | 0.9 | 2224
349 | 2.2 | 1922
350 | 0.1 | 3921
351 | 1.4 | 3014
352 | 2.4 | 6311
353 | 5.4 | 6314
354 | 3.3 | 7023
355 | 0.1 | 6417
356 | 1.4 | 887
357 | 0.2 | 7232
358 | 3.0 | 3864
359 | 2.1 | 6287
360 | 1.2 | 6974
361 | 1.2 | 4430
362 | 1.4 | 3124
363 | 1.9 | 6317
364 | 1.1 | 2396
365 | 1.2 | 1699
366 | 0.5 | 4564
367 | 2.4 | 908
368 | 1.8 | 5781
369 | 1.8 | 3967
370 | 2.1 | 1145
371 | 3.7 | 3303
372 | 1.0 | 6740
373 | 1.6 | 2070
374 | 2.5 | 3397
375 | 1.9 | 2796
376 | 2.1 | 1957
377 | 2.3 | 2422
378 | 1.7 | 4644
379 | 3.1 | 2292
380 | 4.8 | 616
381 | 0.7 | 5241
382 | 2.4 | 5534
383 | 1.0 | 3792
384 | 1.7 | 1775
385 | 1.9 | 2584
386 | 0.7 | 6502
387 | 2.2 | 6932
388 | 0.6 | 81
389 | 0.4 | 2507
390 | 3.1 | 2971
391 | 1.1 | 4898
392 | 3.4 | 4632
393 | 1.3 | 2320
394 | 1.7 | 5443
395 | 3.1 | 2452
396 | 2.9 | 2839
397 | 5.4 | 7203
398 | 0.3 | 5986
399 | 1.2 | 6789
400 | 4.0 | 228
401 | 0.3 | 1181
402 | 0.2 | 3162
403 | 4.1 | 45
404 | 5.7 | 1686
405 | 2.9 | 1602
406 | 1.6 | 6083
407 | 1.8 | 2702
408 | 1.1 | 719
409 | 0.5 | 2669
410 | 0.4 | 6054
411 | 1.9 | 6160
412 | 2.0 | 707
413 | 1.6 | 4580
414 | 2.7 | 1645
415 | 3.4 | 535
416 | 0.4 | 5879
417 | 1.8 | 6731
