Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
227 | 15.499999999999998 | 3204
228 | 17.1 | 3664
229 | 19.1 | 4841
230 | 17.9 | 4900
231 | 15.5 | 2259
232 | 15.700000000000001 | 123
233 | 20.1 | 6784
234 | 20.3 | 6038
235 | 20.700000000000003 | 315
236 | 26.700000000000003 | 4142
237 | 17.6 | 3362
238 | 20.8 | 1495
239 | 18.800000000000004 | 396
240 | 22.3 | 3337
241 | 24.699999999999996 | 2584
242 | 12.499999999999998 | 5537
243 | 22.0 | 488
244 | 14.399999999999999 | 1209
245 | 16.400000000000002 | 7450
246 | 14.5 | 6486
247 | 18.200000000000003 | 708
248 | 27.900000000000002 | 3379
249 | 18.700000000000003 | 899
250 | 16.5 | 6703
251 | 23.000000000000004 | 7221
252 | 15.1 | 6683
253 | 26.2 | 623
254 | 19.4 | 5915
255 | 15.599999999999998 | 956
256 | 19.800000000000004 | 6832
257 | 18.1 | 601
258 | 18.4 | 2109
259 | 18.7 | 4565
260 | 25.2 | 2434
261 | 26.7 | 1977
262 | 17.700000000000003 | 2100
263 | 20.200000000000003 | 4038
264 | 19.299999999999997 | 1064
265 | 12.8 | 4686
266 | 15.400000000000002 | 1818
267 | 23.5 | 912
268 | 18.400000000000002 | 4579
269 | 20.700000000000003 | 1740
270 | 25.8 | 5941
271 | 13.1 | 2599
272 | 16.200000000000003 | 2114
273 | 17.1 | 4559
274 | 16.9 | 3316
275 | 16.200000000000003 | 7143
276 | 22.2 | 3049
277 | 22.0 | 1760
278 | 16.1 | 2152
279 | 16.1 | 4900
280 | 19.2 | 7217
281 | 15.0 | 7319
282 | 16.099999999999998 | 1209
283 | 17.9 | 4348
284 | 24.700000000000003 | 1448
285 | 18.5 | 3442
286 | 18.2 | 3390
287 | 23.900000000000002 | 2036
288 | 17.8 | 7296
289 | 24.799999999999997 | 5462
290 | 21.400000000000002 | 3664
291 | 19.5 | 6041
292 | 21.6 | 846
293 | 21.5 | 5185
294 | 21.3 | 2854
295 | 15.9 | 3659
296 | 22.1 | 4627
297 | 14.700000000000001 | 6486
298 | 15.9 | 6137
299 | 25.6 | 6568
300 | 20.5 | 7080
301 | 17.799999999999997 | 1685
302 | 24.6 | 5445
303 | 20.399999999999995 | 1510
304 | 21.6 | 4213
305 | 15.600000000000001 | 1679
306 | 17.400000000000002 | 864
307 | 15.899999999999999 | 6172
308 | 13.0 | 2259
309 | 23.1 | 5991
310 | 12.5 | 2632
311 | 21.7 | 5555
312 | 20.000000000000004 | 1717
313 | 13.0 | 3577
314 | 17.2 | 3509
315 | 15.3 | 1200
316 | 20.5 | 4661
317 | 18.7 | 4696
318 | 18.799999999999997 | 7030
319 | 17.6 | 372
320 | 17.9 | 1034
321 | 17.8 | 7017
322 | 22.5 | 4006
323 | 20.6 | 3780
324 | 10.9 | 6658
325 | 22.6 | 7329
326 | 21.1 | 3525
327 | 12.200000000000001 | 3219
328 | 24.599999999999998 | 5090
329 | 29.6 | 7022
330 | 30.799999999999997 | 3340
331 | 20.900000000000002 | 4061
332 | 22.1 | 6907
333 | 16.999999999999996 | 3545
334 | 23.5 | 6626
335 | 14.3 | 4979
336 | 17.599999999999998 | 7170
337 | 18.8 | 6431
338 | 23.1 | 7085
339 | 19.799999999999997 | 3836
340 | 19.299999999999997 | 402
341 | 21.3 | 4449
342 | 29.799999999999997 | 7409
343 | 11.4 | 500
344 | 13.6 | 957
345 | 20.9 | 1420
346 | 12.600000000000001 | 7437
347 | 16.8 | 2037
348 | 22.300000000000004 | 3477
349 | 22.5 | 7300
350 | 23.1 | 5152
351 | 15.7 | 4126
352 | 19.4 | 3177
353 | 23.5 | 6591
354 | 15.9 | 4900
355 | 9.1 | 8
356 | 28.099999999999994 | 3071
357 | 16.0 | 6528
358 | 18.8 | 4605
359 | 19.7 | 4475
360 | 20.300000000000004 | 3660
361 | 22.299999999999997 | 3512
362 | 13.699999999999998 | 1551
363 | 20.4 | 4726
364 | 18.6 | 7148
365 | 22.099999999999998 | 3968
366 | 14.799999999999999 | 4406
367 | 23.799999999999997 | 4698
368 | 16.5 | 2718
369 | 27.9 | 6491
370 | 21.2 | 176
371 | 10.399999999999999 | 4020
372 | 16.8 | 1372
373 | 21.500000000000004 | 1411
374 | 14.9 | 265
375 | 18.9 | 2293
376 | 18.9 | 7470
377 | 19.5 | 5163
378 | 18.1 | 5275
379 | 16.7 | 1671
380 | 22.400000000000002 | 4855
381 | 7.1 | 1466
382 | 23.6 | 916
383 | 16.5 | 5970
384 | 13.799999999999999 | 525
385 | 15.500000000000002 | 3234
386 | 17.2 | 581
387 | 12.5 | 7087
388 | 19.499999999999996 | 2809
389 | 13.900000000000002 | 3142
390 | 17.1 | 5389
391 | 24.2 | 5305
392 | 24.8 | 5986
393 | 12.799999999999999 | 6720
394 | 18.8 | 1461
395 | 20.8 | 2058
396 | 18.200000000000003 | 1504
397 | 21.1 | 1047
398 | 17.4 | 2284
399 | 20.0 | 2213
400 | 19.7 | 889
401 | 15.2 | 1846
402 | 15.399999999999999 | 850
403 | 16.4 | 1765
404 | 20.5 | 5467
405 | 9.5 | 2367
406 | 21.700000000000003 | 2844
407 | 17.6 | 3597
408 | 22.400000000000002 | 3683
409 | 20.000000000000004 | 3664
410 | 17.799999999999997 | 3065
411 | 20.9 | 7321
412 | 17.5 | 1942
413 | 16.5 | 6172
414 | 19.3 | 3102
415 | 18.4 | 552
416 | 23.7 | 2096
417 | 12.4 | 2024
418 | 8.299999999999999 | 1706
419 | 13.1 | 5906
420 | 18.400000000000002 | 5295
421 | 22.1 | 5070
422 | 20.299999999999997 | 7388
423 | 12.100000000000001 | 4151
424 | 21.099999999999998 | 388
425 | 19.8 | 4940
426 | 19.3 | 2784
427 | 16.9 | 1191
428 | 32.400000000000006 | 4816
429 | 15.8 | 4553
430 | 27.2 | 4561
431 | 23.9 | 1298
432 | 17.7 | 374
433 | 22.2 | 4683
434 | 18.5 | 1509
435 | 26.099999999999998 | 2953
436 | 16.299999999999997 | 6776
437 | 16.6 | 3404
438 | 15.8 | 224
439 | 21.6 | 761
440 | Infinity | -1
441 | 15.7 | 19
442 | 15.4 | 3976
443 | 28.200000000000003 | 4019
444 | 18.7 | 158
445 | 13.1 | 3264
446 | 18.8 | 2188
447 | 28.5 | 4836
448 | 12.899999999999999 | 665
449 | Infinity | -1
450 | 16.299999999999997 | 5531
451 | 18.8 | 2860
452 | 18.7 | 4087
453 | Infinity | -1
454 | 22.299999999999997 | 1126
455 | 16.499999999999996 | 4076
456 | Infinity | -1
457 | 22.3 | 5773
458 | 20.700000000000003 | 116
459 | 16.999999999999996 | 5934
460 | 12.399999999999999 | 1606
461 | 28.200000000000003 | 6749
462 | 20.3 | 75
463 | 26.700000000000003 | 7276
464 | 21.099999999999998 | 4506
465 | 22.7 | 824
466 | 20.5 | 5160
467 | 15.8 | 1339
468 | 21.799999999999997 | 6189
469 | 15.099999999999998 | 194
470 | 23.5 | 6635
471 | 30.0 | 5892
472 | 21.6 | 7137
473 | 21.8 | 6667
474 | 15.600000000000001 | 1353
475 | 22.8 | 6168
476 | 16.7 | 5766
477 | 13.0 | 2131
478 | 23.0 | 227
479 | 20.299999999999997 | 1780
480 | 21.2 | 2869
481 | 27.5 | 4374
482 | 17.0 | 823
483 | Infinity | -1
484 | 17.0 | 4020
485 | 20.3 | 725
486 | 14.5 | 2599
487 | 20.0 | 4598
488 | 19.0 | 1017
489 | 17.0 | 2832
490 | 13.2 | 2450
491 | 15.799999999999999 | 3031
492 | 18.9 | 3375
493 | 14.299999999999999 | 4457
494 | 19.099999999999998 | 5500
495 | 18.300000000000004 | 5243
496 | Infinity | -1
497 | 13.6 | 4793
498 | 20.299999999999997 | 2365
499 | 16.800000000000004 | 2206
500 | 4.9 | 6785
501 | 22.2 | 4964
502 | 18.6 | 2467
503 | 11.999999999999998 | 3700
504 | 24.2 | 4451
505 | 11.0 | 185
506 | 22.2 | 2297
507 | 23.5 | 5961
508 | 17.400000000000002 | 199
509 | 17.7 | 2427
510 | 16.4 | 4665
511 | 15.1 | 838
512 | 21.4 | 5184
513 | 12.8 | 1842
514 | 22.999999999999996 | 5088
515 | 12.1 | 1765
516 | 21.4 | 5106
517 | 19.900000000000002 | 5666
518 | 31.4 | 5225
519 | 12.399999999999999 | 2292
520 | 22.099999999999998 | 1719
521 | 18.1 | 4768
522 | 19.6 | 5248
523 | 20.6 | 5416
524 | 15.6 | 5782
525 | 13.399999999999999 | 1590
526 | 14.4 | 1556
527 | 23.499999999999996 | 617
528 | 25.199999999999996 | 6563
529 | 22.6 | 5990
530 | 16.4 | 4459
531 | 22.5 | 2800
532 | 10.3 | 5969
533 | 17.0 | 7347
534 | 24.5 | 6057
535 | 10.0 | 1139
536 | 10.5 | 183
537 | 20.799999999999997 | 6123
538 | 13.2 | 1064
539 | 20.9 | 2427
540 | 19.6 | 3869
541 | 24.400000000000002 | 2568
542 | 18.299999999999997 | 3706
543 | 18.3 | 6620
544 | 15.2 | 925
545 | 15.299999999999999 | 6275
546 | 25.2 | 5248
547 | 23.0 | 2161
548 | 17.8 | 4470
549 | 9.9 | 3118
550 | 17.1 | 2211
551 | 20.2 | 7311
552 | 12.899999999999999 | 194
553 | 16.400000000000002 | 207
554 | 14.999999999999998 | 3017
555 | 18.3 | 3875
556 | 14.899999999999999 | 519
557 | 21.5 | 5652
558 | 33.9 | 1131
559 | 18.7 | 4885
560 | 26.200000000000003 | 1860
561 | 15.5 | 5233
562 | 27.7 | 2364
563 | 19.1 | 486
564 | 28.900000000000002 | 4720
565 | 15.7 | 3158
566 | 9.4 | 1671
567 | 20.099999999999998 | 3220
568 | 24.3 | 4521
569 | 26.1 | 3343
570 | 22.400000000000002 | 1742
571 | 15.5 | 3807
572 | 18.700000000000003 | 7207
573 | 22.700000000000003 | 4866
574 | 26.5 | 6492
575 | 22.5 | 1114
576 | 6.800000000000001 | 6658
577 | 18.8 | 760
578 | 15.0 | 2832
579 | 21.400000000000002 | 3332
580 | 16.2 | 5820
581 | 15.5 | 5200
582 | 20.200000000000003 | 1074
583 | 19.1 | 6360
584 | 15.3 | 3323
585 | 18.1 | 1402
586 | 18.7 | 108
587 | 16.299999999999997 | 2453
588 | 20.6 | 4166
589 | 19.900000000000002 | 7457
590 | 18.599999999999998 | 5730
591 | 22.600000000000005 | 1581
592 | 24.0 | 861
593 | 25.6 | 2282
594 | 19.5 | 3632
595 | 17.400000000000002 | 43
596 | 15.9 | 199
597 | Infinity | -1
598 | 22.200000000000003 | 4857
599 | 21.9 | 1828
600 | 26.300000000000004 | 6270
601 | 15.9 | 6127
602 | 23.400000000000002 | 5449
603 | 20.5 | 2807
604 | 18.200000000000003 | 4490
605 | 21.599999999999998 | 1092
606 | 17.0 | 635
607 | 20.599999999999998 | 1963
608 | 22.4 | 6269
609 | 16.799999999999997 | 4875
610 | 24.099999999999998 | 5136
611 | 21.700000000000003 | 4869
612 | 16.5 | 6774
613 | 20.200000000000003 | 2206
614 | 16.1 | 6629
615 | 6.7 | 1781
616 | 16.799999999999997 | 6087
617 | 17.699999999999996 | 2061
618 | 21.2 | 3755
619 | 22.900000000000002 | 5790
620 | 18.0 | 6205
621 | 11.4 | 2598
622 | 22.3 | 2957
623 | 25.0 | 3668
624 | 22.900000000000002 | 7485
625 | 7.2 | 6683
626 | 8.2 | 852
627 | 18.400000000000002 | 635
628 | 11.3 | 2226
629 | 10.5 | 1803
630 | 22.499999999999996 | 6262
631 | 18.9 | 4786
632 | 27.200000000000003 | 3464
633 | 29.5 | 7412
634 | 22.5 | 6653
635 | 14.8 | 1847
636 | 9.700000000000001 | 3209
637 | 19.5 | 6864
638 | 13.5 | 1259
639 | 12.9 | 6791
640 | 22.4 | 1063
641 | 26.299999999999997 | 5830
642 | 20.8 | 4836
643 | 15.7 | 7013
644 | 16.0 | 658
645 | 19.7 | 109
646 | 31.800000000000004 | 3820
647 | 20.0 | 1857
648 | Infinity | -1
649 | 19.8 | 2041
650 | 18.900000000000002 | 327
651 | 28.5 | 433
652 | 21.9 | 5676
653 | 17.8 | 839
654 | 15.399999999999999 | 2124
655 | 26.3 | 4191
656 | 19.4 | 3324
657 | 19.7 | 91
658 | 12.9 | 4866
659 | 17.3 | 6556
660 | 21.599999999999998 | 1832
661 | 20.6 | 3551
662 | 20.7 | 28
663 | 17.7 | 5361
664 | 19.5 | 7462
665 | 10.2 | 1671
666 | 26.100000000000005 | 3348
667 | 24.7 | 6130
668 | 22.500000000000004 | 7062
669 | 9.700000000000001 | 6556
670 | 17.6 | 423
671 | 17.700000000000003 | 4552
672 | 21.7 | 4699
673 | 29.699999999999996 | 1260
674 | 26.900000000000002 | 2746
675 | 27.8 | 3415
676 | 14.1 | 2915
677 | 19.400000000000002 | 5963
678 | 17.2 | 1496
679 | 17.8 | 3302
680 | 17.499999999999996 | 3172
681 | 21.700000000000003 | 7450
682 | 25.499999999999996 | 6276
683 | Infinity | -1
684 | 20.5 | 1655
685 | 18.599999999999998 | 5785
686 | 20.8 | 4540
687 | 17.7 | 2284
688 | 6.9 | 6791
689 | 13.9 | 4926
690 | 18.7 | 6894
691 | 10.799999999999999 | 1558
692 | 13.8 | 3362
693 | 26.8 | 2689
694 | 15.6 | 6345
695 | 26.299999999999997 | 1914
696 | Infinity | -1
697 | 20.5 | 5099
698 | 29.099999999999998 | 2759
699 | 16.2 | 4893
700 | 16.7 | 6275
701 | 19.3 | 3377
702 | 20.4 | 7314
703 | 17.200000000000003 | 2087
704 | 14.3 | 6804
705 | 20.3 | 1221
706 | 28.0 | 2167
707 | 24.1 | 2189
708 | 15.200000000000001 | 1215
709 | 33.5 | 1621
710 | 12.600000000000001 | 4359
711 | Infinity | -1
712 | 16.3 | 4902
713 | 14.2 | 1965
714 | 22.9 | 4837
715 | 19.299999999999997 | 2642
716 | 19.200000000000003 | 5523
717 | 21.4 | 3602
718 | 25.299999999999997 | 4616
719 | 17.1 | 2014
720 | 20.400000000000002 | 4831
721 | 18.6 | 5886
722 | 16.5 | 503
723 | 16.799999999999997 | 6644
724 | 21.4 | 1579
725 | 16.6 | 4835
726 | 24.200000000000003 | 2285
727 | 21.5 | 4269
728 | 12.8 | 636
729 | 18.0 | 790
730 | 20.099999999999998 | 7192
731 | 17.499999999999996 | 769
732 | 17.9 | 771
733 | 16.400000000000002 | 513
734 | 20.5 | 5119
735 | 16.4 | 4526
736 | 17.200000000000003 | 4151
737 | 18.4 | 5692
738 | 20.7 | 1114
739 | 20.5 | 728
740 | 12.9 | 3429
741 | 15.6 | 2695
742 | 17.8 | 310
743 | 12.9 | 852
744 | 8.5 | 121
745 | 22.5 | 4958
746 | 16.5 | 4550
747 | 22.5 | 2982
748 | 22.900000000000002 | 7330
749 | 18.599999999999998 | 5938
750 | Infinity | -1
751 | 20.5 | 1383
752 | 25.200000000000003 | 272
753 | 28.5 | 1898
754 | 18.5 | 94
755 | 26.8 | 3305
756 | 18.700000000000003 | 5084
757 | 22.6 | 4215
758 | 21.099999999999998 | 124
759 | 16.3 | 565
760 | 17.1 | 4437
761 | 13.2 | 1218
762 | Infinity | -1
763 | 17.6 | 5901
764 | 31.299999999999997 | 2088
765 | 18.1 | 4391
766 | 17.8 | 4535
767 | 19.5 | 2004
768 | 16.3 | 6622
769 | 17.299999999999997 | 1926
770 | 20.2 | 3206
771 | 11.1 | 5946
772 | 16.499999999999996 | 1357
773 | 16.7 | 2266
774 | 17.900000000000002 | 2925
775 | 18.5 | 3561
776 | 20.6 | 7381
777 | 25.3 | 3896
778 | 24.1 | 4426
779 | 19.6 | 6302
780 | 19.3 | 2528
781 | 25.400000000000002 | 5267
782 | 19.8 | 6667
783 | 19.5 | 1305
784 | 16.8 | 7081
785 | 40.3 | 6115
786 | 17.5 | 228
787 | 20.4 | 4737
788 | 22.200000000000003 | 1570
789 | 13.2 | 6578
790 | 15.100000000000001 | 7203
791 | 18.5 | 125
792 | 8.4 | 6595
793 | 22.999999999999996 | 3697
794 | 16.0 | 2029
795 | 16.3 | 7411
796 | 15.1 | 713
797 | 19.6 | 4907
798 | 12.900000000000002 | 423
799 | 18.4 | 146
800 | 24.7 | 7157
801 | 16.400000000000002 | 3617
802 | 23.2 | 6401
803 | 15.4 | 1338
804 | 22.599999999999998 | 6651
805 | 30.1 | 3174
806 | 16.700000000000003 | 6057
807 | 18.4 | 4696
808 | 12.600000000000001 | 3302
809 | 17.7 | 1250
810 | 18.7 | 1481
811 | 19.3 | 4864
812 | 22.1 | 671
813 | 16.099999999999998 | 817
814 | 15.6 | 1572
815 | 15.1 | 4230
816 | 23.1 | 277
817 | 14.299999999999999 | 2486
818 | 16.9 | 154
819 | 18.799999999999997 | 1627
820 | 18.0 | 3486
821 | 19.599999999999998 | 6837
822 | 15.3 | 740
823 | 14.5 | 6726
824 | 20.5 | 5552
825 | 19.5 | 5079
826 | 24.7 | 678
827 | 13.100000000000001 | 2367
828 | 16.2 | 914
829 | 20.400000000000002 | 864
830 | 15.4 | 7305
831 | 16.2 | 2365
832 | 27.199999999999996 | 520
833 | 17.9 | 2284
834 | 16.1 | 3870
835 | 11.0 | 665
836 | 17.2 | 998
837 | 9.3 | 5391
838 | 15.0 | 6172
839 | 16.900000000000002 | 1024
840 | 18.2 | 4362
841 | 13.5 | 4829
842 | 17.1 | 2880
843 | 18.3 | 2996
844 | 11.0 | 7319
845 | 23.1 | 6535
846 | 16.0 | 7183
847 | 21.0 | 2365
848 | 29.400000000000002 | 3524
849 | 20.4 | 3912
850 | 13.2 | 1852
851 | 13.899999999999999 | 7149
852 | 8.0 | 1825
853 | 21.599999999999998 | 6474
854 | 21.299999999999997 | 5653
855 | 26.6 | 679
856 | 26.5 | 3638
857 | 20.299999999999997 | 1789
858 | 19.2 | 1566
859 | 20.7 | 7186
860 | 21.6 | 1925
861 | 20.9 | 1459
862 | 15.0 | 3264
863 | 24.200000000000003 | 89
864 | 16.1 | 984
865 | 14.8 | 669
866 | 21.8 | 4227
867 | 19.599999999999998 | 6859
868 | 22.200000000000003 | 839
869 | 14.899999999999999 | 3031
870 | 23.5 | 6913
871 | 20.3 | 3589
872 | Infinity | -1
873 | 23.4 | 2567
874 | 21.2 | 6734
875 | 19.2 | 3080
876 | 17.5 | 222
877 | 15.9 | 5122
878 | 15.5 | 3125
879 | 17.7 | 2415
880 | Infinity | -1
881 | Infinity | -1
882 | 18.500000000000004 | 553
883 | 16.7 | 4379
884 | 19.1 | 97
885 | 20.6 | 803
886 | 18.5 | 2981
887 | 27.9 | 6445
888 | 16.3 | 6401
889 | 12.7 | 3203
890 | 27.4 | 6077
891 | 27.200000000000003 | 5343
892 | 12.5 | 1406
893 | 14.299999999999999 | 6741
894 | 30.599999999999998 | 1462
895 | 31.4 | 6033
896 | 20.9 | 937
897 | 19.299999999999997 | 5462
898 | 18.599999999999998 | 5123
899 | 18.1 | 2253
900 | 17.2 | 665
901 | 23.8 | 3737
902 | 21.9 | 6821
903 | 22.200000000000003 | 6526
904 | 19.1 | 5761
905 | Infinity | -1
906 | 18.3 | 6873
907 | 4.1000000000000005 | 2059
908 | 19.5 | 3658
909 | 15.8 | 474
910 | 22.2 | 3395
911 | 16.5 | 5310
912 | 18.0 | 2835
913 | 22.1 | 6324
914 | 12.3 | 5556
915 | 16.8 | 1984
916 | 18.1 | 7250
917 | 26.299999999999997 | 5316
918 | 18.1 | 5484
919 | 22.300000000000004 | 6471
920 | Infinity | -1
921 | 26.0 | 995
922 | 25.9 | 3744
923 | 22.4 | 192
924 | 16.1 | 4256
925 | 14.299999999999999 | 2109
926 | 22.500000000000004 | 6887
927 | 20.4 | 3197
928 | 14.899999999999999 | 3283
929 | 19.000000000000004 | 4917
930 | 15.999999999999998 | 6824
931 | 19.2 | 5196
932 | 19.3 | 1429
933 | 18.599999999999998 | 1890
934 | 28.700000000000003 | 5094
935 | 26.900000000000002 | 2537
936 | 22.700000000000003 | 7222
937 | 14.3 | 6994
938 | 22.6 | 5914
939 | 6.0 | 6785
940 | 19.3 | 644
941 | 32.5 | 755
942 | 16.4 | 1854
943 | 17.0 | 4389
944 | 14.600000000000001 | 7365
945 | 14.700000000000001 | 6396
946 | 21.799999999999997 | 2393
947 | 13.7 | 6300
948 | 12.2 | 5256
949 | 20.4 | 6105
950 | 24.000000000000004 | 5449
951 | 17.7 | 6938
952 | 22.6 | 676
953 | 18.7 | 2135
954 | 15.8 | 6258
955 | 13.100000000000001 | 1362
956 | 15.099999999999998 | 3759
957 | 5.4 | 5573
958 | 23.7 | 3183
959 | 19.1 | 268
960 | 14.100000000000001 | 1019
961 | 12.5 | 6377
962 | 19.400000000000002 | 1543
963 | 20.3 | 5183
964 | 31.1 | 4863
965 | 31.399999999999995 | 6096
966 | 17.2 | 7139
967 | 15.399999999999999 | 3676
968 | 25.0 | 4792
969 | 21.6 | 2231
970 | 17.6 | 1717
971 | 21.2 | 738
972 | 17.2 | 6776
973 | 25.299999999999997 | 6061
974 | 18.0 | 596
975 | 14.200000000000001 | 3046
976 | 22.299999999999997 | 7182
977 | 17.599999999999998 | 6263
978 | 16.900000000000002 | 1026
979 | 11.799999999999999 | 2754
980 | 23.3 | 3382
981 | 20.6 | 3586
982 | 26.9 | 1751
983 | 19.4 | 1029
984 | 15.100000000000001 | 4761
985 | 18.5 | 5173
986 | 14.699999999999998 | 6914
987 | 16.8 | 298
988 | 20.7 | 3905
989 | 20.1 | 357
