Node | Distance To | Previous Node in Path (-1 is unreachable, or starting node)
245 | 1.3 | 4051
246 | 1.9 | 1820
247 | 2.6 | 4447
248 | 1.6 | 5752
249 | 2.0 | 383
250 | 1.7 | 3013
251 | 0.3 | 6234
252 | 0.7 | 1806
253 | 1.3 | 1606
254 | 3.4 | 2778
255 | 0.8 | 1736
256 | 1.5 | 7184
257 | 1.5 | 812
258 | 3.6 | 1295
259 | 1.6 | 1400
260 | 1.4 | 573
261 | 3.0 | 6932
262 | 2.2 | 7015
263 | 1.4 | 4734
264 | 1.2 | 5658
265 | 1.9 | 3317
266 | 2.4 | 6445
267 | 1.5 | 2771
268 | 5.5 | 739
269 | 0.8 | 2949
270 | 1.4 | 7472
271 | 4.3 | 7105
272 | 0.8 | 5772
273 | 1.7 | 1698
274 | 0.1 | 4233
275 | 1.9 | 5361
276 | 1.0 | 4198
277 | 0.6 | 5516
278 | 3.0 | 5837
279 | 2.8 | 1779
280 | 0.5 | 3094
281 | 0.2 | 1746
282 | 2.6 | 5799
283 | 0.8 | 1236
284 | 0.9 | 6207
285 | 2.2 | 497
286 | 3.7 | 3164
287 | 1.3 | 5333
288 | 1.4 | 2449
289 | 0.6 | 7148
290 | 2.6 | 2663
291 | 3.2 | 123
292 | 0.6 | 3615
293 | 1.4 | 1614
294 | 7.0 | 3284
295 | 2.2 | 5553
296 | 0.4 | 1738
297 | 1.3 | 4631
298 | 0.9 | 5041
299 | 0.7 | 4589
300 | 0.4 | 7368
301 | 0.8 | 3638
302 | 2.1 | 1099
303 | 3.3 | 2126
304 | 1.8 | 5877
305 | 1.5 | 827
306 | 2.2 | 186
307 | 1.5 | 2931
308 | 1.6 | 7148
309 | 1.1 | 2165
310 | 6.2 | 3819
311 | 1.5 | 4051
312 | 1.6 | 5155
313 | 0.4 | 228
314 | 1.1 | 4931
315 | 5.8 | 2147
316 | 0.5 | 4075
317 | 2.3 | 2571
318 | 3.2 | 2392
319 | 1.1 | 6088
320 | 0.9 | 596
321 | 0.2 | 5016
322 | 2.3 | 4363
323 | 2.3 | 2828
324 | 2.8 | 5882
325 | 2.8 | 4911
326 | 3.8 | 3500
327 | 1.0 | 3244
328 | 2.0 | 246
329 | 2.4 | 3893
330 | 6.1 | 1389
331 | 4.2 | 3350
332 | 3.0 | 3382
333 | 2.7 | 234
334 | 4.9 | 4191
335 | 1.6 | 3316
336 | 1.2 | 3936
337 | 2.3 | 3575
338 | 0.7 | 1046
339 | 2.3 | 2697
340 | 1.5 | 30
341 | 1.6 | 2619
342 | 3.7 | 2090
343 | 1.6 | 2544
344 | 3.5 | 3537
345 | 4.2 | 5381
346 | 4.8 | 480
347 | 2.0 | 3500
348 | 0.6 | 6587
349 | 2.4 | 3981
350 | 0.2 | 4795
351 | 0.7 | 3434
352 | 1.3 | 6770
353 | 0.6 | 2514
354 | 1.3 | 1633
355 | 2.8 | 2564
356 | 2.8 | 503
357 | 2.8 | 4389
358 | 0.4 | 4093
359 | 4.7 | 541
360 | 1.6 | 1031
361 | 2.2 | 6890
362 | 0.9 | 5398
363 | 0.8 | 6825
364 | 1.7 | 3741
365 | 1.9 | 4532
366 | 1.0 | 5175
367 | 2.4 | 7407
368 | 0.7 | 1194
369 | 2.3 | 697
370 | 2.1 | 1548
371 | 4.1 | 3217
372 | 0.9 | 4390
373 | 1.4 | 4702
374 | 1.3 | 928
375 | 2.8 | 7062
376 | 0.9 | 4573
377 | 1.4 | 4642
378 | 0.7 | 1011
379 | 2.2 | 4605
380 | 0.1 | 5808
381 | 1.8 | 7188
382 | 2.2 | 6636
383 | 2.2 | 2802
384 | 5.4 | 4716
385 | 3.0 | 2449
386 | 1.7 | 3783
387 | 1.4 | 2556
388 | 3.1 | 4563
389 | 4.7 | 471
390 | 5.9 | 3639
391 | 1.9 | 836
392 | 1.1 | 487
393 | 0.2 | 3668
394 | 0.2 | 3948
395 | 1.7 | 1071
396 | 2.5 | 2835
397 | 1.1 | 7083
398 | 0.1 | 4025
399 | 0.5 | 3864
400 | 4.0 | 3055
401 | 1.9 | 883
402 | 3.1 | 7483
403 | 1.1 | 2100
404 | 0.9 | 7369
405 | 3.3 | 2224
406 | 1.1 | 1209
407 | 0.3 | 1320
408 | 0.5 | 4069
409 | 2.5 | 1234
410 | 0.7 | 3987
411 | 5.5 | 3653
412 | 0.9 | 6436
413 | 1.8 | 7348
414 | 1.7 | 340
415 | 0.5 | 2531
416 | 2.2 | 7371
417 | 1.5 | 1822
418 | 1.2 | 3899
419 | 1.2 | 4231
420 | 2.3 | 1833
421 | 3.9 | 5596
422 | 2.9 | 6996
423 | 0.6 | 2396
424 | 0.6 | 6680
425 | 1.0 | 5506
426 | 1.5 | 1277
427 | 3.1 | 197
428 | 2.9 | 6410
429 | 0.7 | 2597
430 | 0.5 | 6222
431 | 1.3 | 6247
432 | 4.1 | 7021
433 | 5.1 | 7237
434 | 1.7 | 5275
435 | 3.8 | 4911
436 | 0.3 | 7076
437 | 3.3 | 305
438 | 5.0 | 390
439 | 2.3 | 3145
440 | 1.5 | 2446
441 | 1.9 | 3726
442 | 0.6 | 2023
443 | 3.0 | 7325
444 | 1.6 | 6212
445 | 0.8 | 277
446 | 4.9 | 1569
447 | 2.5 | 1124
448 | 0.6 | 4973
449 | 0.9 | 1787
450 | 2.0 | 1400
451 | 1.9 | 5500
452 | 1.6 | 3865
453 | 1.7 | 5932
454 | 0.4 | 5517
455 | 1.8 | 4395
456 | 3.3 | 1990
457 | 0.3 | 1166
458 | 0.3 | 6261
459 | 1.7 | 358
460 | 2.4 | 6078
461 | 1.5 | 7096
462 | 4.5 | 6103
463 | 1.9 | 2889
464 | 0.2 | 6901
465 | 0.8 | 3885
466 | 2.8 | 3869
467 | 1.3 | 3586
468 | 0.8 | 1220
469 | 2.0 | 6376
470 | 0.9 | 6739
471 | 1.8 | 3018
472 | 0.2 | 226
473 | 0.6 | 3755
474 | 0.2 | 760
475 | 1.7 | 7291
476 | 2.4 | 5604
477 | 0.8 | 1056
478 | 2.8 | 1973
479 | 0.6 | 795
480 | 4.4 | 4074
481 | 1.2 | 7067
482 | 1.1 | 5361
483 | 2.5 | 1190
484 | 2.6 | 3264
485 | 2.6 | 6925
486 | 2.1 | 5961
487 | 2.3 | 5305
488 | 0.5 | 2592
489 | 0.4 | 2372
490 | 1.2 | 6522
491 | 2.7 | 4003
492 | 1.4 | 3567
493 | 1.2 | 1861
494 | 2.6 | 757
495 | 2.6 | 7233
496 | 2.2 | 7189
497 | 0.5 | 3266
498 | 0.3 | 2782
499 | 1.0 | 583
500 | 2.7 | 6610
501 | 2.2 | 2694
502 | 0.4 | 3737
503 | 0.2 | 5211
504 | 2.7 | 110
505 | 2.0 | 1149
506 | 1.0 | 1362
507 | 2.0 | 3160
508 | 1.2 | 4154
509 | 2.4 | 1530
510 | 0.9 | 3561
511 | 0.1 | 765
512 | 2.5 | 3177
513 | 4.3 | 4140
514 | 1.6 | 6423
515 | 0.3 | 2793
516 | 0.4 | 3863
517 | 3.1 | 275
518 | 2.9 | 2070
519 | 8.4 | 6654
520 | 1.9 | 4929
521 | 2.3 | 4739
522 | 0.9 | 7006
523 | 2.4 | 4770
524 | 4.0 | 1944
525 | 2.7 | 181
526 | 5.5 | 2837
527 | 3.5 | 5691
528 | 6.5 | 1391
529 | 1.3 | 5483
530 | 2.9 | 3409
531 | 2.2 | 3759
532 | 4.8 | 224
533 | 2.9 | 4081
534 | 2.7 | 7266
535 | 2.4 | 2620
